premise_v2,hypothesis_v2,premise_sentences,hypothesis_sentences,labels,label_name,premise_lemma,premise_pos,hypothesis_lemma,hypothesis_pos
"Три людини їдуть на велосипедах по полі, оточені деревами.",Три людини їдуть на велосипедах через полі.,"['Три людини їдуть на велосипедах по полі, оточені деревами.']",['Три людини їдуть на велосипедах через полі.'],0,entailment,"три людина їхати на велосипед по поле , оточений дерево .",NUM NOUN VERB ADP NOUN ADP NOUN PUNCT ADJ NOUN PUNCT,три людина їхати на велосипед через поле .,NUM NOUN VERB ADP NOUN ADP NOUN PUNCT
Чоловік падає на м'яч під час гри в регбі.,Чоловік намагається вкрасти м'яч під час регбі.,"[""Чоловік падає на м'яч під час гри в регбі.""]","[""Чоловік намагається вкрасти м'яч під час регбі.""]",1,neutral,чоловік падати на м’яч під час гра в регба .,NOUN VERB ADP NOUN ADP NOUN NOUN ADP NOUN PUNCT,чоловік намагатися вкрасти м’яч під час регба .,NOUN VERB VERB NOUN ADP NOUN NOUN PUNCT
"Дві чоловіки, які працюють на будівельній площі в Шарлотт, штат штат штат штат Нью-Йорк.",Два чоловіки спить на будівельній площі.,"['Дві чоловіки, які працюють на будівельній площі в Шарлотт, штат штат штат штат Нью-Йорк.']",['Два чоловіки спить на будівельній площі.'],2,contradiction,"два чоловік , який працювати на будівельний площа в Шарлотт , штат штат штат штат Нью-Йорк .",NUM NOUN PUNCT DET VERB ADP ADJ NOUN ADP PROPN PUNCT NOUN NOUN NOUN NOUN PROPN PUNCT,два чоловік спати на будівельний площа .,NUM NOUN VERB ADP ADJ NOUN PUNCT
"Чоловік, який перескокває на велосипеді з річкою на задньому плані","Чоловік, який катається на скейт-парку.","['Чоловік, який перескокває на велосипеді з річкою на задньому плані']","['Чоловік, який катається на скейт-парку.']",2,contradiction,"чоловік , який перескоквати на велосипедь з річка на задній план",NOUN PUNCT DET VERB ADP NOUN ADP NOUN ADP ADJ NOUN,"чоловік , який катаватися на скейт - парк .",NOUN PUNCT DET VERB ADP NOUN PUNCT NOUN PUNCT
Група людей сидить в аудиторії і дивиться на екран на сцені.,Люди стоять у аудиторії,['Група людей сидить в аудиторії і дивиться на екран на сцені.'],['Люди стоять у аудиторії'],1,neutral,група людина сидіти в аудиторія і дивитися на екран на сцена .,NOUN NOUN VERB ADP NOUN CCONJ VERB ADP NOUN ADP NOUN PUNCT,людина стояти у аудиторія,NOUN VERB ADP NOUN
Старий чоловік сидить на скелі на дворі і їсть.,Чоловік сидить всередині і їсть.,['Старий чоловік сидить на скелі на дворі і їсть.'],['Чоловік сидить всередині і їсть.'],2,contradiction,старий чоловік сидіти на скеля на двір і їсти .,ADJ NOUN VERB ADP NOUN ADP NOUN CCONJ VERB PUNCT,чоловік сидіти всередині і їсти .,NOUN VERB ADV CCONJ VERB PUNCT
"Маленький хлопчик виглядає так, ніби він займається школовим проектом, а його батько дивиться на нього.",Тата їсть чипси і дивиться телевізор.,"['Маленький хлопчик виглядає так, ніби він займається школовим проектом, а його батько дивиться на нього.']",['Тата їсть чипси і дивиться телевізор.'],2,contradiction,"маленький хлопчик виглядати так , ніби він займатися школовий проект , а його батько дивитися на він .",ADJ NOUN VERB ADV PUNCT SCONJ PRON VERB ADJ NOUN PUNCT CCONJ DET NOUN VERB ADP PRON PUNCT,тато їсти чипса і дивитися телевізор .,NOUN VERB NOUN CCONJ VERB NOUN PUNCT
Дівчина в бікіні плаває під водою в чистій воді.,"Дівчина, яка плаває в океані на Багамських островах.",['Дівчина в бікіні плаває під водою в чистій воді.'],"['Дівчина, яка плаває в океані на Багамських островах.']",1,neutral,дівчина в бікін плавати під вода в чистий вода .,NOUN ADP NOUN VERB ADP NOUN ADP ADJ NOUN PUNCT,"дівчина , який плавати в океан на багамський острів .",NOUN PUNCT DET VERB ADP NOUN ADP ADJ NOUN PUNCT
Молода дівчинка з світло-коричневими волоссями відкриває подарунок за допомогою старшого хлопчика з темно-коричневими волоссями.,Хлопчик з червоними волоссями краде подарунки від своєї сестри.,['Молода дівчинка з світло-коричневими волоссями відкриває подарунок за допомогою старшого хлопчика з темно-коричневими волоссями.'],['Хлопчик з червоними волоссями краде подарунки від своєї сестри.'],2,contradiction,молодий дівчинка з світло - коричневий волосся відкривати подарунок за допомога старший хлопчик з темно - коричневий волосся .,ADJ NOUN ADP ADJ PUNCT ADJ NOUN VERB NOUN ADP NOUN ADJ NOUN ADP ADJ PUNCT ADJ NOUN PUNCT,хлопчик з червоний волосся красти подарунок від свій сестра .,NOUN ADP ADJ NOUN VERB NOUN ADP DET NOUN PUNCT
Сім'я бідних чорних жителів села зібралася навколо вогню.,На землі сидять люди.,"[""Сім'я бідних чорних жителів села зібралася навколо вогню.""]",['На землі сидять люди.'],1,neutral,сім’я бідний чорний житель село зібратися навколо вогонь .,NOUN ADJ ADJ NOUN NOUN VERB ADP NOUN PUNCT,на земля сидіти людина .,ADP NOUN VERB NOUN PUNCT
Жінка робить свої покупки в місцевому Walmart,"Жінка, яка купує продукцію.",['Жінка робить свої покупки в місцевому Walmart'],"['Жінка, яка купує продукцію.']",1,neutral,жінка робити свій покупка в місцевий Walmart,NOUN VERB DET NOUN ADP ADJ X,"жінка , який купувати продукція .",NOUN PUNCT DET VERB NOUN PUNCT
Маленькі діти грають з жовтою їзди на іграшки.,Дві маленькі діти граються.,['Маленькі діти грають з жовтою їзди на іграшки.'],['Дві маленькі діти граються.'],0,entailment,маленький дитина грати з жовтий їзда на іграшка .,ADJ NOUN VERB ADP ADJ NOUN ADP NOUN PUNCT,два маленький дитина гратися .,NUM ADJ NOUN VERB PUNCT
Чоловік у зеленої сорочки з довгою бородою грає на струнному інструменті.,Його борода зпала і втік.,['Чоловік у зеленої сорочки з довгою бородою грає на струнному інструменті.'],['Його борода зпала і втік.'],2,contradiction,чоловік у зелений сорочка з довгий борода грати на струнний інструмент .,NOUN ADP ADJ NOUN ADP ADJ NOUN VERB ADP ADJ NOUN PUNCT,його борода зпати і втекти .,DET NOUN VERB CCONJ VERB PUNCT
"Дівчина в синій коротко-жовтої футболіки кидає жовтий софтбол, а дівчина в чорно-червоній коротко-розійній форме і червоній кашыці біжить.",Дівчата сидять вдома і нічого не роблять.,"['Дівчина в синій коротко-жовтої футболіки кидає жовтий софтбол, а дівчина в чорно-червоній коротко-розійній форме і червоній кашыці біжить.']",['Дівчата сидять вдома і нічого не роблять.'],2,contradiction,"дівчина в синій коротко - жовтий футболіка кидавати жовтий софтбол , а дівчина в чорний - червоний коротко - розійний форме і червоний кашыць бігти .",NOUN ADP ADJ ADJ PUNCT ADJ NOUN VERB ADJ NOUN PUNCT CCONJ NOUN ADP ADJ PUNCT ADJ ADJ PUNCT ADJ NOUN CCONJ ADJ NOUN VERB PUNCT,дівчина сидіти вдома і ніщо не робити .,NOUN VERB ADV CCONJ PRON PART VERB PUNCT
Група людей перед комп'ютерами дивляться на передній частині кімнати.,Студенти в комп'ютерній лабораторії,"[""Група людей перед комп'ютерами дивляться на передній частині кімнати.""]","[""Студенти в комп'ютерній лабораторії""]",1,neutral,група людина перед комп’ютер дивитися на передній частина кімната .,NOUN NOUN ADP NOUN VERB ADP ADJ NOUN NOUN PUNCT,студент в комп’ютерний лабораторій,NOUN ADP ADJ NOUN
"Два футболісти, один з команди в червоному і інший у білому, ходять на футбол, а люди на біличах дивляться.",М'яч наповнений свинцом.,"['Два футболісти, один з команди в червоному і інший у білому, ходять на футбол, а люди на біличах дивляться.']","[""М'яч наповнений свинцом.""]",2,contradiction,"два футболість , один з команда в червоний і інший у білем , ходити на футбол , а людина на білича дивитися .",NUM NOUN PUNCT DET ADP NOUN ADP ADJ CCONJ DET ADP NOUN PUNCT VERB ADP NOUN PUNCT CCONJ NOUN ADP NOUN VERB PUNCT,м'яч наповнений свинце .,NOUN ADJ NOUN PUNCT
Трима чоловіками працює над графіті.,"Трима чоловіками, які малюють на некрасивих графітти.",['Трима чоловіками працює над графіті.'],"['Трима чоловіками, які малюють на некрасивих графітти.']",1,neutral,трима чоловік працювати над графіт .,ADP NOUN VERB ADP NOUN PUNCT,"трима чоловік , який малювати на некрасивий графітт .",ADP NOUN PUNCT DET VERB ADP ADJ NOUN PUNCT
"Маленька дівчинка плаче на стільці в столовій перед столом з тарілою тосту, чашкою і кутиною соків.",Собака робить черво в задньому плані.,"['Маленька дівчинка плаче на стільці в столовій перед столом з тарілою тосту, чашкою і кутиною соків.']",['Собака робить черво в задньому плані.'],2,contradiction,"маленький дівчинка плакати на стілець в столовий перед стіл з тарілий тіст , чашка і кутина сік .",ADJ NOUN VERB ADP NOUN ADP ADJ ADP NOUN ADP ADJ NOUN PUNCT NOUN CCONJ NOUN NOUN PUNCT,собака робити черво в задній план .,NOUN VERB NOUN ADP ADJ NOUN PUNCT
Чоловік і жінка дивляться на щось разом перед орнаментально висеченим колонном.,Жінка і чоловік знаходяться біля колонни.,['Чоловік і жінка дивляться на щось разом перед орнаментально висеченим колонном.'],['Жінка і чоловік знаходяться біля колонни.'],0,entailment,чоловік і жінка дивитися на щось разом перед орнаментально висечений колонно .,NOUN CCONJ NOUN VERB ADP PRON ADV ADP ADV ADJ NOUN PUNCT,жінка і чоловік знаходитися біля колонна .,NOUN CCONJ NOUN VERB ADP NOUN PUNCT
Чоловік у чорній куртці посміхається на жінку.,Чоловік злився на жінку.,['Чоловік у чорній куртці посміхається на жінку.'],['Чоловік злився на жінку.'],2,contradiction,чоловік у чорний куртка посміхатися на жінка .,NOUN ADP ADJ NOUN VERB ADP NOUN PUNCT,чоловік злитися на жінка .,NOUN VERB ADP NOUN PUNCT
"Чоловік у коричневому костюмі стоїть, тримаючи руки разом за спиною.","Чоловік стоїть, тримаючи знак миру.","['Чоловік у коричневому костюмі стоїть, тримаючи руки разом за спиною.']","['Чоловік стоїть, тримаючи знак миру.']",2,contradiction,"чоловік у коричневий костюм стояти , тримати рука разом за спина .",NOUN ADP ADJ NOUN VERB PUNCT VERB NOUN ADV ADP NOUN PUNCT,"чоловік стояти , тримати знак мир .",NOUN VERB PUNCT VERB NOUN NOUN PUNCT
Багато людей на пляжі біля пальмових дерев.,"Весілля, розслабляючись на пляжі",['Багато людей на пляжі біля пальмових дерев.'],"['Весілля, розслабляючись на пляжі']",1,neutral,багато людина на пляж біля пальмовий дерево .,DET NOUN ADP NOUN ADP ADJ NOUN PUNCT,"весілля , розслаблятися на пляж",NOUN PUNCT VERB ADP NOUN
Леді дивиться в небо на міському тротуар.,Леді біжить за своє життя з падіння будівлі.,['Леді дивиться в небо на міському тротуар.'],['Леді біжить за своє життя з падіння будівлі.'],2,contradiction,Леді дивитися в небо на міський тротуар .,PROPN VERB ADP NOUN ADP ADJ NOUN PUNCT,Леді бігти за свій життя з падіння будівля .,PROPN VERB ADP DET NOUN ADP NOUN NOUN PUNCT
Три діти грають в футбол у піску.,Діти грають в футбол на пляжі.,['Три діти грають в футбол у піску.'],['Діти грають в футбол на пляжі.'],1,neutral,три дитина грати в футбол у пісок .,NUM NOUN VERB ADP NOUN ADP NOUN PUNCT,дитина грати в футбол на пляж .,NOUN VERB ADP NOUN ADP NOUN PUNCT
Дитина слізгає по сніжному ході.,"Дитина, яка грає в снігу.",['Дитина слізгає по сніжному ході.'],"['Дитина, яка грає в снігу.']",0,entailment,дитина слізгати по сніжний хід .,NOUN VERB ADP ADJ NOUN PUNCT,"дитина , який грати в сніг .",NOUN PUNCT DET VERB ADP NOUN PUNCT
"Група підлітків і дітей з скейтбордами на рампі, на якій є логотип ""Красний Б"".",Група змагається на скейтбординговому шоу.,"['Група підлітків і дітей з скейтбордами на рампі, на якій є логотип ""Красний Б"".']",['Група змагається на скейтбординговому шоу.'],1,neutral,"група підліток і дитина з скейтборда на рампа , на який бути логотип "" красний Б "" .",NOUN NOUN CCONJ NOUN ADP NOUN ADP NOUN PUNCT ADP DET VERB NOUN PUNCT ADJ PROPN PUNCT PUNCT,група змагатися на скейтбординговий шій .,NOUN VERB ADP ADJ NOUN PUNCT
"Чоловік з бізбольною шапкою, повернутою назад, знімає фотографії на полі з натовпом на задньому плані.","Жінка з бізбольною шапкою, повернутою назад, фотографувала на полі з натовпом на задньому плані.","['Чоловік з бізбольною шапкою, повернутою назад, знімає фотографії на полі з натовпом на задньому плані.']","['Жінка з бізбольною шапкою, повернутою назад, фотографувала на полі з натовпом на задньому плані.']",2,contradiction,"чоловік з бізбольний шапка , повернутий назад , знімати фотографія на поле з натовп на задній план .",NOUN ADP ADJ NOUN PUNCT ADJ ADV PUNCT VERB NOUN ADP NOUN ADP NOUN ADP ADJ NOUN PUNCT,"жінка з бізбольний шапка , повернутий назад , фотографувати на поле з натовп на задній план .",NOUN ADP ADJ NOUN PUNCT ADJ ADV PUNCT VERB ADP NOUN ADP NOUN ADP ADJ NOUN PUNCT
Дитина скейтборд на сходах.,Дитина катається на скейтборд.,['Дитина скейтборд на сходах.'],['Дитина катається на скейтборд.'],0,entailment,дитина скейтборд на сходи .,NOUN NOUN ADP NOUN PUNCT,дитина катаватися на скейтборд .,NOUN VERB ADP NOUN PUNCT
Група дітей впав у річку біля берегів річки.,Діти грають у річці.,['Група дітей впав у річку біля берегів річки.'],['Діти грають у річці.'],1,neutral,група дитина впасти у річка біля берег річка .,NOUN NOUN VERB ADP NOUN ADP NOUN NOUN PUNCT,дитина грати у річка .,NOUN VERB ADP NOUN PUNCT
Чоловік у сірому сувертині схиляє ногу над головою.,Жінка розтягує ногу над головою.,['Чоловік у сірому сувертині схиляє ногу над головою.'],['Жінка розтягує ногу над головою.'],2,contradiction,чоловік у сірий сувертин схиляти нога над голова .,NOUN ADP ADJ NOUN VERB NOUN ADP NOUN PUNCT,жінка розтягувати нога над голова .,NOUN VERB NOUN ADP NOUN PUNCT
Два людини на конях намагаються злавити корову.,Два ковбої на конях намагаються поймати корову на полі.,['Два людини на конях намагаються злавити корову.'],['Два ковбої на конях намагаються поймати корову на полі.'],1,neutral,два людина на кінь намагатися злавити корова .,NUM NOUN ADP NOUN VERB VERB NOUN PUNCT,два ковбій на кінь намагатися поймати корова на поле .,NUM NOUN ADP NOUN VERB VERB NOUN ADP NOUN PUNCT
Дитина в білої рубаці в вагоні поїзда.,Дитина сидить з двома жінками.,['Дитина в білої рубаці в вагоні поїзда.'],['Дитина сидить з двома жінками.'],1,neutral,дитина в білий рубак в вагон поїзд .,NOUN ADP ADJ NOUN ADP NOUN NOUN PUNCT,дитина сидіти з два жінка .,NOUN VERB ADP NUM NOUN PUNCT
"Молодий чоловік, який займається мистецтвом.",Молодий чоловік грає в шахматы.,"['Молодий чоловік, який займається мистецтвом.']",['Молодий чоловік грає в шахматы.'],2,contradiction,"молодий чоловік , який займатися мистецтво .",ADJ NOUN PUNCT DET VERB NOUN PUNCT,молодий чоловік грати в шахмат .,ADJ NOUN VERB ADP NOUN PUNCT
"Маленький хлопчик ховається під столом на вулиці, де демонструється фруктовий.",Маленький хлопчик ховається.,"['Маленький хлопчик ховається під столом на вулиці, де демонструється фруктовий.']",['Маленький хлопчик ховається.'],0,entailment,"маленький хлопчик ховатися під стіл на вулиця , де демонструватися фруктовий .",ADJ NOUN VERB ADP NOUN ADP NOUN PUNCT ADV VERB ADJ PUNCT,маленький хлопчик ховатися .,ADJ NOUN VERB PUNCT
"Безкостюжний чоловік, який працює з залізом.",Чоловік заплюває.,"['Безкостюжний чоловік, який працює з залізом.']",['Чоловік заплюває.'],0,entailment,"безкостюжний чоловік , який працювати з залізо .",ADJ NOUN PUNCT DET VERB ADP NOUN PUNCT,чоловік заплювати .,NOUN VERB PUNCT
"Жінка середнього віку, яка перебуває на відпустку, дивиться на океан, а її подорожник фотографуває.","Чоловік, який тримає кішку.","['Жінка середнього віку, яка перебуває на відпустку, дивиться на океан, а її подорожник фотографуває.']","['Чоловік, який тримає кішку.']",2,contradiction,"жінка середній вік , який перебувати на відпустка , дивитися на океан , а її подорожник фотографувати .",NOUN ADJ NOUN PUNCT DET VERB ADP NOUN PUNCT VERB ADP NOUN PUNCT CCONJ DET NOUN VERB PUNCT,"чоловік , який тримати кішка .",NOUN PUNCT DET VERB NOUN PUNCT
Люди в уніформі і прохожими ходять по вулиці.,Люди ходять по вулиці.,['Люди в уніформі і прохожими ходять по вулиці.'],['Люди ходять по вулиці.'],0,entailment,людина в уніформа і прохожий ходити по вулиця .,NOUN ADP NOUN CCONJ ADJ VERB ADP NOUN PUNCT,людина ходити по вулиця .,NOUN VERB ADP NOUN PUNCT
Три людини стоять у банкоматах Вашингтон Mutual.,"Три людини стоять у банкоматах Вашингтон Мутуаль, а група виступає поблизу в торговому центрі.",['Три людини стоять у банкоматах Вашингтон Mutual.'],"['Три людини стоять у банкоматах Вашингтон Мутуаль, а група виступає поблизу в торговому центрі.']",1,neutral,три людина стояти у банкомат Вашингтон Mutual .,NUM NOUN VERB ADP NOUN PROPN X PUNCT,"три людина стояти у банкомат Вашингтон Мутуаль , а група виступати поблизу в торговий центр .",NUM NOUN VERB ADP NOUN PROPN PROPN PUNCT CCONJ NOUN VERB ADV ADP ADJ NOUN PUNCT
"Два людини сидять на лаві, а чоловік у соровому пальто курить.",Група людей все носять сорову куртку і курить.,"['Два людини сидять на лаві, а чоловік у соровому пальто курить.']",['Група людей все носять сорову куртку і курить.'],2,contradiction,"два людина сидіти на лава , а чоловік у соровий пальто курити .",NUM NOUN VERB ADP NOUN PUNCT CCONJ NOUN ADP ADJ NOUN VERB PUNCT,група людина все носити соровий куртка і курити .,NOUN NOUN PRON VERB ADJ NOUN CCONJ VERB PUNCT
"Молодий хлопчик, який носить червоний шарф навколо голови, з словом ""вільний"" написано червоним на одній щеті.",Молодий хлопчик з шалом на голові і протестуючи.,"['Молодий хлопчик, який носить червоний шарф навколо голови, з словом ""вільний"" написано червоним на одній щеті.']",['Молодий хлопчик з шалом на голові і протестуючи.'],1,neutral,"молодий хлопчик , який носити червоний шарф навколо голова , з слово "" вільний "" написати червоний на один щета .",ADJ NOUN PUNCT DET VERB ADJ NOUN ADP NOUN PUNCT ADP NOUN PUNCT ADJ PUNCT VERB ADJ ADP DET NOUN PUNCT,молодий хлопчик з шал на голова і протестувати .,ADJ NOUN ADP NOUN ADP NOUN CCONJ VERB PUNCT
"Дівчина з окулярами видуває дим, тримаючи в лівій руці джунт.",Хлопчик курить джонг.,"['Дівчина з окулярами видуває дим, тримаючи в лівій руці джунт.']",['Хлопчик курить джонг.'],2,contradiction,"дівчина з окуляри видувати дим , тримати в лівий рука джунт .",NOUN ADP NOUN VERB NOUN PUNCT VERB ADP ADJ NOUN NOUN PUNCT,хлопчик курити джонг .,NOUN VERB NOUN PUNCT
"Бейсболний гравець з ""Тигрів"" слізгає на базу, а арбітр біжить, щоб побачити, чи є гравець в безпеці.",Бейсбольний гравець прослізнувся до домашньої бази.,"['Бейсболний гравець з ""Тигрів"" слізгає на базу, а арбітр біжить, щоб побачити, чи є гравець в безпеці.']",['Бейсбольний гравець прослізнувся до домашньої бази.'],1,neutral,"бейсболний гравець з "" тигр "" слізгати на база , а арбітр бігти , щоб побачити , чи бути гравець в безпека .",ADJ NOUN ADP PUNCT NOUN PUNCT VERB ADP NOUN PUNCT CCONJ NOUN VERB PUNCT SCONJ VERB PUNCT SCONJ VERB NOUN ADP NOUN PUNCT,бейсбольний гравець прослізнутися до домашній база .,ADJ NOUN VERB ADP ADJ NOUN PUNCT
Коняс у формі стрибає свою білу коню через огороду.,У гоняра довгий кінний хвост.,['Коняс у формі стрибає свою білу коню через огороду.'],['У гоняра довгий кінний хвост.'],1,neutral,Коняс у форма стрибати свій білий кінь через огорода .,PROPN ADP NOUN VERB DET ADJ NOUN ADP NOUN PUNCT,у гоняр довгий кінний хвост .,ADP NOUN ADJ ADJ NOUN PUNCT
Чоловік у плад стоїть на кучі камінь і дивиться на велосипед.,"Чоловік стоїть на кучі камінь, над якими він намагався їздити.",['Чоловік у плад стоїть на кучі камінь і дивиться на велосипед.'],"['Чоловік стоїть на кучі камінь, над якими він намагався їздити.']",1,neutral,чоловік у плад стояти на кучя камінь і дивитися на велосипед .,NOUN ADP NOUN VERB ADP NOUN NOUN CCONJ VERB ADP NOUN PUNCT,"чоловік стояти на кучя камінь , над який він намагатися їздити .",NOUN VERB ADP NOUN NOUN PUNCT ADP DET PRON VERB VERB PUNCT
Людина наклонілася на скриньку.,"Є скринька, на яку можна покластись людям.",['Людина наклонілася на скриньку.'],"['Є скринька, на яку можна покластись людям.']",0,entailment,людина наклонітися на скринька .,NOUN VERB ADP NOUN PUNCT,"бути скринька , на який можна покластися людина .",VERB NOUN PUNCT ADP DET ADV VERB NOUN PUNCT
Жінка в передніковій торгує на ринку.,Ця жінка прекрасна.,['Жінка в передніковій торгує на ринку.'],['Ця жінка прекрасна.'],1,neutral,жінка в передніковий торгувати на ринок .,NOUN ADP ADJ VERB ADP NOUN PUNCT,цей жінка прекрасний .,DET NOUN ADJ PUNCT
"Натовп дивиться на екран, який показує кольоровий зображення.",Група дивиться на кольори на екрані.,"['Натовп дивиться на екран, який показує кольоровий зображення.']",['Група дивиться на кольори на екрані.'],0,entailment,"натовп дивитися на екран , який показувати кольоровий зображення .",NOUN VERB ADP NOUN PUNCT DET VERB ADJ NOUN PUNCT,група дивитися на колір на екран .,NOUN VERB ADP NOUN ADP NOUN PUNCT
Азіатська жінка стояла біля жовтого будівлі.,Жінка стоїть на вулиці,['Азіатська жінка стояла біля жовтого будівлі.'],['Жінка стоїть на вулиці'],0,entailment,азіатський жінка стояти біля жовтий будівля .,ADJ NOUN VERB ADP ADJ NOUN PUNCT,жінка стояти на вулиця,NOUN VERB ADP NOUN
"Молода дівчина дивиться на дорослих, коли вони намагаються вигулятися на громадському майданчику.",Два дорослих грають на дитячому полі,"['Молода дівчина дивиться на дорослих, коли вони намагаються вигулятися на громадському майданчику.']",['Два дорослих грають на дитячому полі'],2,contradiction,"молодий дівчина дивитися на дорослий , коли вони намагатися вигулятися на громадський майданчик .",ADJ NOUN VERB ADP NOUN PUNCT ADV PRON VERB VERB ADP ADJ NOUN PUNCT,два дорослий грати на дитячий поле,NUM NOUN VERB ADP ADJ NOUN
У вуличних продавців з колишками Nescafe розмовляють один з одним на вуличному куточку міста з різдвяними деревами.,Люди святкують Різдво.,['У вуличних продавців з колишками Nescafe розмовляють один з одним на вуличному куточку міста з різдвяними деревами.'],['Люди святкують Різдво.'],1,neutral,у вуличний продавець з колишок Nescafe розмовляти один з один на вуличний куточка місто з різдвяний дерево .,ADP ADJ NOUN ADP NOUN X VERB DET ADP DET ADP ADJ NOUN NOUN ADP ADJ NOUN PUNCT,людина святкувати різдво .,NOUN VERB NOUN PUNCT
"Жінка в лікарні сидить поруч з жінкою, яка пише на підкладці.",Лікар збирається провести операцію на пацієнта.,"['Жінка в лікарні сидить поруч з жінкою, яка пише на підкладці.']",['Лікар збирається провести операцію на пацієнта.'],2,contradiction,"жінка в лікарня сидіти поруч з жінка , який писати на підкладка .",NOUN ADP NOUN VERB ADV ADP NOUN PUNCT DET VERB ADP NOUN PUNCT,лікар збиратися провести операція на пацієнт .,NOUN VERB VERB NOUN ADP NOUN PUNCT
Собака намагається підняти велику шину ротом.,"Собака, яка грає з шиною.",['Собака намагається підняти велику шину ротом.'],"['Собака, яка грає з шиною.']",0,entailment,собака намагатися підняти великий шина рот .,NOUN VERB VERB ADJ NOUN NOUN PUNCT,"собака , який грати з шина .",NOUN PUNCT DET VERB ADP NOUN PUNCT
"Танцюючого в білої рубаці і шортах фотографує чоловік, який також одягнений у біло.",Фотограф фотограф танцює.,"['Танцюючого в білої рубаці і шортах фотографує чоловік, який також одягнений у біло.']",['Фотограф фотограф танцює.'],1,neutral,"танцюючий в білий рубак і шорт фотографувати чоловік , який також одягнений у білий .",NOUN ADP ADJ NOUN CCONJ NOUN VERB NOUN PUNCT DET ADV ADJ ADP ADV PUNCT,фотограф фотограф танцювати .,NOUN NOUN VERB PUNCT
"Ця дитина тримає в руках туфлі з перевернутою рукою, а також голову.","Дитина тримає в руках взуття, чекаючи його перевезення.","['Ця дитина тримає в руках туфлі з перевернутою рукою, а також голову.']","['Дитина тримає в руках взуття, чекаючи його перевезення.']",1,neutral,"цей дитина тримати в рука туфля з перевернутий рука , а також голова .",DET NOUN VERB ADP NOUN NOUN ADP ADJ NOUN PUNCT CCONJ ADV NOUN PUNCT,"дитина тримати в рука взуття , чекати його перевезення .",NOUN VERB ADP NOUN NOUN PUNCT VERB DET NOUN PUNCT
"Молодий білондонний чоловік сміється, витягнувши сорочку на публічному обстановці, коли глядачі дивиться.",На когось спостерігає група людей.,"['Молодий білондонний чоловік сміється, витягнувши сорочку на публічному обстановці, коли глядачі дивиться.']",['На когось спостерігає група людей.'],0,entailment,"молодий білондонний чоловік сміятися , витягнути сорочка на публічний обстановка , коли глядач дивитися .",ADJ ADJ NOUN VERB PUNCT VERB NOUN ADP ADJ NOUN PUNCT ADV NOUN VERB PUNCT,на хтось спостерігати група людина .,ADP PRON VERB NOUN NOUN PUNCT
"Людина, яка носить важку куртку, входить в купол з снігу.","Людина входить в сніжне куполе, яке вона тільки-но побудовала.","['Людина, яка носить важку куртку, входить в купол з снігу.']","['Людина входить в сніжне куполе, яке вона тільки-но побудовала.']",1,neutral,"людина , який носити важкий куртка , входити в купол з сніг .",NOUN PUNCT DET VERB ADJ NOUN PUNCT VERB ADP NOUN ADP NOUN PUNCT,"людина входити в сніжний куполе , який вона тільки - но побудовати .",NOUN VERB ADP ADJ NOUN PUNCT DET PRON PART PUNCT PART VERB PUNCT
Жінка в білої футболі з поло-поло рухає чорну статую ведмедя.,Жінка натискає статую,['Жінка в білої футболі з поло-поло рухає чорну статую ведмедя.'],['Жінка натискає статую'],1,neutral,жінка в білий футболь з поло - поло рухати чорний статува ведмідь .,NOUN ADP ADJ NOUN ADP NOUN PUNCT NOUN VERB ADJ NOUN NOUN PUNCT,жінка натискати статува,NOUN VERB NOUN
Два пухливі білі собаки в снігу.,Дві тварини знаходяться в замороженому матеріалі на землі.,['Два пухливі білі собаки в снігу.'],['Дві тварини знаходяться в замороженому матеріалі на землі.'],0,entailment,два пухливий білий собака в сніг .,NUM ADJ ADJ NOUN ADP NOUN PUNCT,два тварина знаходитися в заморожений матеріал на земля .,NUM NOUN VERB ADP ADJ NOUN ADP NOUN PUNCT
Чоловік у чорній сорочки і маленький хлопчик працюють над дверями.,Він встановлює двері.,['Чоловік у чорній сорочки і маленький хлопчик працюють над дверями.'],['Він встановлює двері.'],1,neutral,чоловік у чорний сорочка і маленький хлопчик працювати над двері .,NOUN ADP ADJ NOUN CCONJ ADJ NOUN VERB ADP NOUN PUNCT,він встановлювати двері .,PRON VERB NOUN PUNCT
Чоловік тягне три колеса синій тележці з різними чистильними засобами в сивих і синих вечках.,"Чоловік, який використовує інвалідний стільце для того, щоб робити трюки",['Чоловік тягне три колеса синій тележці з різними чистильними засобами в сивих і синих вечках.'],"['Чоловік, який використовує інвалідний стільце для того, щоб робити трюки']",2,contradiction,чоловік тягнути три колеса синій тележкь з різний чистильний засіб в сивий і синий вечко .,NOUN VERB NUM NOUN ADJ NOUN ADP ADJ ADJ NOUN ADP ADJ CCONJ ADJ NOUN PUNCT,"чоловік , який використовувати інвалідний стільце для те , щоб робити трюки",NOUN PUNCT DET VERB ADJ NOUN ADP PRON PUNCT SCONJ VERB NOUN
