premise_clean,hypothesis_clean,labels,label_name
Чоловік стоїть поруч зі своєю жовтою човтом у воді.,Чоловік має човен у воді.,0,entailment
Група людей у шкрупах сидять навколо ноутбуку.,Медсестри збираються навколо професіонала Macbook.,1,neutral
Чоловік чистить свій двір лісцем.,Чоловік чистить свій двір,0,entailment
Два чоловіки ходять по вулиці міста.,Чоловіки відходить з місця злочину.,1,neutral
Кілька людей стикаються під душами на пляжі.,Деякі народи грають,2,contradiction
"Чоловік, який робить падіння на пляжі.",Чоловік стрибає від радості після перемоги в пляжному волейболі.,1,neutral
Безличний чоловік виконує обов'язки санитарного забезпечення.,Уборник повернувся спиною.,1,neutral
Старіший чоловік у білої рукавці кашулі захоплюється кустом.,"Чоловік захоплюється кустом, який він вирізав.",1,neutral
Люди ходять по сході.,Всі залишалися вдома.,2,contradiction
"Група людей знімають фотографії, один з них стоїть на пластиковій ванні на столі.",Група туристів знімає божевільного на столі,1,neutral
Чотири людини грають на траві біля парковки.,Люди на вулиці.,0,entailment
"Хлопці, які були частиною параду, застрягли під дощем.",Хлопці пішли на кіно і застрягли в дощі,1,neutral
"Собака з глини, застрягнута на нижній стороні, біжить на траві.",Собака сидить на килим.,2,contradiction
"Група з 11 сміючих дітей та підлітків поділена на дві групи, у великому закритому басейні, з заднім особою в кожній групі підняти руки.",Дві діти прогуляються по пустелі.,2,contradiction
"Судья на ролінових коньках, одягнений в коляні і шлем, протирає підлогу дерев'яної баскетбольної трибуни перед натовпом.",Судья дотримується правил безпеки.,0,entailment
"3 Ветерани, які піднімають прапори",3 Ветерани на параді на День ветеранів,1,neutral
"П'ять чоловіків, одягнені в апельсинові відбивачі костюми, працюють на залізниці.",Мужчинам багато платять.,1,neutral
Людина в синій захоплюється мистецтвом.,Хтось дивиться мистецтво.,0,entailment
"Плід слід перелікувати лимонним соком, коли його різають на шматочки, щоб запобігти окисленню.",Плід в кінцевому підсумку окислюється.,1,neutral
Чоловік з білою футболку і червоним галстуком розмовляє з іншим чоловіком в кухні.,Два чоловіки переговорюють угоду.,1,neutral
Чоловік поклав на електричний шруфт-приводник плівку і крутить її.,Плюсовану тварину волосся і рожева.,1,neutral
"Чоловік у жорсткому капелюху, що розпуляризує.","Чоловік, який використовує інструмент.",0,entailment
"Жінка, яка тримає мікрофон, і інша жінка, яка грає на фортепіано.",Жінка тримає яблуко.,2,contradiction
"Маленький хлопчик, який чистить зуби в ванній кімнаті.","Маленький хлопчик, який чистить зуби.",0,entailment
Люди сидять за кожним столом у кафе.,Люди сидять в кафе.,0,entailment
"Жінка, яка піднімає дзеркало до дитини з фарбуваним обличчям на напруженому заході.","Жінка піднімає дзеркало після того, як намалювала дитину.",1,neutral
Хлопчик плаває за допомогою коричневого пристрою в водоросли.,Дитина сидить на піску.,2,contradiction
"Хлопці не виконують домашніх завдань, деякі сидять за столом, а двоє спить.",Хлопці вже закінчили домашнє завдання.,1,neutral
Люди ходять по вулицях в час пік.,Люди ходять на вулицю.,0,entailment
чоловік стріляє з зброї.,Чоловік стріляє.,0,entailment
"Людина на ролінових скетках, одягнена в клоуна, тримає кричучого хлопчика, який носить сину шапку з синьою шапкою і синій чапи з чарівниками.",Абрахам Лінкольн їздить гоночним автомобілем.,2,contradiction
"Чоловік у обертонах, апельсиновій шапці і жовтій рубаці лежить на тротуар, фотографуючи з камерою.","Чоловік стоїть перед триподом в будівлі, займаючись фотографіями.",2,contradiction
"Головий чоловік в сірої кнопка-кабіни і чорний блейзер дивиться вниз з своїх окулярів, пише щось в книзі, яка здається, що книга підписку, як він має аналогічні книги, складені поруч з ним.",Найпродавніший автор підписує копії своєї відомії книги.,1,neutral
Жінки танцюють на відкритому фестивалі.,"жінка танцює, бо вона на наркотиках.",1,neutral
"Два чоловіки, один дивиться на екран з барабаном поруч з ним, а інший - чоловік у білої рубаші, який розмовляє в мікрофон.","Один чоловік дивиться на екран, а інший - на мікрофон.",0,entailment
Жінка-лукачка в білої уніформі спрямовує свою стрілу на далеку ціль.,луковик націлений на жінку,2,contradiction
Чоловік сидить в бібліотеці з стіною на стіні поруч з ним.,Чоловік спить на траві.,2,contradiction
"Заміжна пара, яка поцілується і тримає один одного.",Людина поцілується,0,entailment
"Чоловік у військовій сукні говорив по телефону, перебуваючи на човні під водою.",Войськовий робить телефонний дзвінк.,0,entailment
Чоловік з жорстким шляпкою прив'язаний до сталевої конструкції.,Чоловік з жорстким шляпкою прив'язаний до сталевої конструкції,0,entailment
"Два чоловіки стоять на вулиці, оточені будівлями.",Дві чоловіки сидять разом у приміщенні.,2,contradiction
Чоловік їздить старшою модельною гоночковою машиною.,Під час гонки чоловік їздив старшою моделью гонкової машини.,1,neutral
"Майбутнє сноубордування в літо з усіма висотами і захопленнями, які ви могли б захотіти.",Є хвилювання.,0,entailment
Три футболісти в червоних футболістах на полі.,Гра дня - футбол.,0,entailment
Старіша жінка з червоними смужними носками катається на ролінах.,Жінка катається на ролінах.,0,entailment
Жінки з телефоном з стенописним графіті на задньому платі.,жінка стоїть перед своїм мистецтвом,1,neutral
"Троє дітей у віці від 6 до 9 років на сонячному дні стоять на краю, тримаючи рослини над краю.",Три діти тримають рослини на вулиці.,0,entailment
"Задні частини маленької дівчини з плетями і чоловік у ""плані"" поза перед нею.",Маленька дівчинка грає на вулиці з критою.,2,contradiction
Чоловік у чорному дивиться через скель.,Чоловік носить фіолетовий костюм.,2,contradiction
"Скінець, який стрибає з снігової рампи біля гірського ланцюга.",собака біжить від ведмедя,2,contradiction
Три людини проходять через ров між двома скальними скелями.,"Є люди, які ходять на вулиці.",0,entailment
"Жінки, які носять білий танковий верх і коричневий шерстинок, виглядають дуже швидко, малюючи зеленого кольору.",Жінка в білому танковому верхньому часі ходить в парку.,2,contradiction
Строительські працівники в безпечних жилетах працюють на легких залізничних залізницях.,Група будівельників ремонтує залізничні смуги,0,entailment
Азіатська жінка сидить на маленькому стулі і їсть.,Азіатська жінка лягає.,2,contradiction
"Три маленькі діти, які грають за бар'єрами",Діти граються.,0,entailment
Індійська жінка збирає тарілку їжі.,Індійська дама викидає свою тарілку їжі.,2,contradiction
Старіший чоловік спить.,Дитина відпочиває.,2,contradiction
"Молодого чоловіка, який спину притягнув до камери, спостерігають молоді, які сидять за двома столами пікніку перед фоном трави і дерев.",Молодого чоловіка з спиною до камери радісно спостерігають,1,neutral
Група стоїть на сорових чекерних плитках.,Група спить на столі.,2,contradiction
"Маленький хлопчик, який стоїть перед будівлею, тримаючи синий парасоль.",Пристрій зелений.,2,contradiction
Розбухнутий чоловік тримає шість об'єктів.,"Чоловік чекає, коли хтось заберє йому предмети.",1,neutral
"Чоловік, який ударує в червону м'яч палкою, коли біжить по траві.",Чоловік ударився в м'яч з бігом,0,entailment
"Будовий чоловік, який грає на акустичній гітарі.",Чоловік з бородою вискакає на акустичній гітарі,0,entailment
"Деякі пішохідні люди ходять на відкритому ориєнтальному ринку, а жовтий мотоцикл стоїть на центрі або на ринку.","Один торговець на ринку думає, що дощ буде.",1,neutral
"Диджей спинтує записи в клубі, де багато людей.",Диджей грає музику в клубі.,0,entailment
Два голінопаті чоловіки грають на зеленому газоні біля будівлі з іншими людьми на задньому плані.,Два чоловіки голі на газоні.,0,entailment
Матадор і бык на арені виступають перед глядачами.,Чоловік і бик виступають перед людьми.,0,entailment
"Чорна собака з червоним ошейником, що прогуляється по води.",Собака в воді.,0,entailment
"Ксахар працює за скляним вікном, перед яким знаходиться виставка риб, готових до продажу.",Мясник стрибує печню.,1,neutral
Бейсболка підтягує руку на середині поля.,Пітер на кургані.,0,entailment
Собака з зеленим ошейником і м'ячкою біжить за собакою з червоним ошейником,дві собаки грають в погонку,1,neutral
Людина на пляжі носить рожеву перуку.,Людина з розовими волоссями вдома.,2,contradiction
"Три коричневі волосся жінки в коричневих і зелених пільтах схиляються до металевого огороду, що дивиться вліво.",На вулиці три жінки.,0,entailment
Шефи готують їжу для клієнтів ресторану суші.,Шеф пробирає підлогу.,2,contradiction
Чоловік у білої рубачі ходить по тротуарі.,Чоловік сидить на скамейці.,2,contradiction
Чоловік з рюкзаком ходить по маленькій дорозі.,"Чоловік, який плаває в озері.",2,contradiction
Чоловік у чорному капелюху сидить на стільці перед лимовою зеленою двері з високоговорителем на правому боці.,Чоловік носить капелюх.,0,entailment
"Жінка в синій сорочки з синьою сумкою проходить мимо великого дворового продажу з кольоровими одягом, серед яких доросли і діти.",Великий кордон,0,entailment
"Жінка, що розрізає ватермелону.","Дякую, який стрибує арбуз.",2,contradiction
Хлопчик у синій і чорній хокейній футболіку тільки що забив гол на хлопця в біло-коричневій хокейній футболі.,Хлопчик забив гол на другому під час хоккеї.,0,entailment
"Це гігантська, переповнена стадіон, і дві команди футбольної гри обмежують край поля.",Футбол грається на стадіоні.,0,entailment
Жінка катається на жовтому каяку зі своєю собакою.,Каяк на воді.,0,entailment
Це оригінальний шеф-поваровий гост.,Людина використовує великий шлифт,1,neutral
"Два чоловіки, які ходили по вулиці, трималися один за одного за руку.",Люди не тримаються за руки.,2,contradiction
"Старіший чоловік, середній чоловік і молодий чоловік сидять на коні і дивляться в різних напрямках, в заграді біля великого дерева.",Три людини на Місяці.,2,contradiction
"Маленький хлопчик з жовтіми плавальними окулярами, в синій смузі з верхньою футболку і синими піжамами, які потрапили в повітря вдома.","Батькам маленьких хлопчиків не було ніякого значення, що їх син носив в ліжку.",1,neutral
"Дівчата в купальних костюмах, які тримаються за руки і сплікають в воду.",Дівчата веселеся.,1,neutral
Яскраво-коричнева собака і темно-коричнева собака бігують по зеленому траві.,На вулиці є тварини.,0,entailment
"Жінка, яка носила синій шарф і сонячні окуляри, наклонілася до фарбуваної стіни під квітучим деревом.",Жінка не носить сонячних окулярів.,2,contradiction
"Чоловік у душ з шампуном у волоссях, зуб'яною щуркою в роті і горіючим обличчям.",Чоловік може рости волосся на обличчі.,0,entailment
"Чоловік у синих джинсах стоїть на вулиці, носить широкий асортимент речей і має на голові велику посуду.","Чоловік у джинсах тримає багато речей, в тому числі посуду на голови.",0,entailment
П'ять дівчат їдуть на розвагу.,П'ять дівчат їздить.,0,entailment
"Студенти, які виглядають азіатськими, сидять на сходах в кампусі коледжу і, здається, дивляться щось з далі.",На території кампусу сидять студенти.,0,entailment
Молодий чоловік на велосипеді в білому свитере їздив по стіні.,"дитина на велосипеді, що їздить по стіні",0,entailment
Чоловік на тротуар з маленькою твариною на повісі.,Людина має тварину на повісі.,0,entailment
"Чоловік у апельсиновій рубашій ходить по вогні, а натовп дивиться.",Чоловік ходить по вогні перед натовпом.,0,entailment
"Іграч дзюдо у білому намагається подати гравця дзюдо у синій, а на жовтому і червоному маті.","Люди, які практикують бойові мистецтви.",0,entailment
Люди сидять в завантаженому мегаполісі.,Люди ходять по завантаженому місті.,2,contradiction
"Четири чоловіків, три у білих лабораторних пальтох і один у чорній куртці, які оглянулися на хлібках в промисловій кухні.",Чотири людини витрачають час на перевірку печі в пекарні.,0,entailment
"Чорно одягнений чоловік середнього віку, лежить і завахає на салоні.","Чоловік середнього віку на своєму сидячому колонці розчарований тим, що його команда програє.",1,neutral
"Жінка готує тарілку м'яса, яка прямує з грилу, а люди говорять на задньому платі.","Жінка є сама, нікого не має.",2,contradiction
Одна жінка і два пішоходів перетинають дорогу на перетину.,Три людини перетинають дорогу.,0,entailment
"Туристи, які дивляться на стару римську статую.","Туристи, які дивляться римське мистецтво.",0,entailment
Чоловік сидить і витягає свій червоний длиннорукав свитер.,"Він думає, що його свитер занадто короткий.",1,neutral
"Чоловік у сірому сорочку і рюкзак їсть морозиво, а побач з ним стоїть жінка в апельсиновій сорочки.",Чоловік носив сіру футболку.,0,entailment
Старший чоловік у гарній сукні і галстуці робить розщеплення на дерев'яному підлозі.,"Старый, добре одягнений чоловік, який розбігається.",0,entailment
"У кутовій кафе сьогодні зайнято, і будівельна команда зупинилася на перерві на обід.",Кутовий кафе сьогодні зайнятий з будівельною командою на перерві на обід.,0,entailment
"Чорна собака біжить по пляжі поруч з коричневою собакою на повітрі, яка уловила палку в рот.",Біла собака ходить по пляжі.,2,contradiction
Чоловік у чорних штанах і футболіці тримає гітару і стоїть поруч з мікрофоном на рожевому фоні.,"Чоловік, який тримає інструмент, стоїть біля мікрофона.",0,entailment
"Дві молоді білі дівчата і один білий хлопчик сидять на скалах, розмовляючи.",Вони обговорюють свої стосунки.,1,neutral
Люди плавають і насолоджуються днем у водопаді.,Люди плавають у водопаді.,0,entailment
"Старіша жінка з носовим кольцом, срібним ожерелем і декоративним шарфом тихо сидить.",Старіша жінка сидить і когось чекає.,1,neutral
"Жених і невеста стоять на пляжі, тримаючи букет квітів.",Дві жінки стоять на вітряному березі Карибського океану.,1,neutral
"Хлопчик у брудно-червоній сорочки в центрі кадру з чоловіком з обох боків, лівий з яких тримає жовту електричну пілку.",Дитина їсть пісок на пляжі.,2,contradiction
Двоє африканських дітей одягають шапки з шапками і дивляться на щось.,Діти мають частину голови покриті повітряними шарами.,0,entailment
Три юнаки в білому ходять біля палатового простору з рекламою баннерів.,хлопці ходять по Місяці,2,contradiction
Людина в червоному сидить на пляжі.,Людина на пляжі.,0,entailment
Жінка одягнена на ролер-дербі в шортах і шортах.,Ця жінка найкраща в роллер-дербі.,1,neutral
"Американська шапка з синими зірками і червоними смугами, виглядає красиво на цій дівчині.","людина, яка носить капелюх",0,entailment
Пара ділиться вином і вечірком.,Пара насолоджувається вечерями і вином разом.,0,entailment
"На вулиці Кореї чоловік тягне двоколесовий тележ, нагорений на висоті з стілком і картон і іншими речами, а за ним - автомобіль і вантажівка і рекламна табличка на рівні вулиці.",Чоловік тягне тележку з стілком і картон до центру переробки в Кореї.,1,neutral
Дівчина носить фіолетовий костюм і перевертається навкоро.,Дівчина носить чорний костюм на слайді.,2,contradiction
Дві футбольні команди грають у гру.,Тут група людей грає в баскетбол.,2,contradiction
"Чоловік розповідає історію, коли сидить серед друзів і кілька линтів пива.",Чоловік щось говорить людям.,0,entailment
"Чоловік з багато тату і чорною рубашкою з білими буквами, які пишеться ""серце"", який проводить рок-концерт.",Чемпіон боулинг отримує удар на боулинг-алей.,2,contradiction
Чоловік розмовляє з орангутаном на скамейці.,Дві дружні гроші розмовляють на лаві.,1,neutral
Жінка в білому стоїть зі своїми торговими торговими перед баннером з рожевих і фіолетових квітів.,"Жінка, одягнена у все біло, йде на покупки.",0,entailment
"Команда рибалок, половина в воді і половина на пляжі, рибали в мережі біля берегів.",Команда ловить мережу.,0,entailment
Азіатська жінка і маленький хлопчик їдуть разом на велосипеді.,Два людини їдуть на велосипеді в парку,1,neutral
Великий зовнішній ринок уздовж оголу.,Рынок знаходиться в космосі.,2,contradiction
"Чоловік, одягнений у армійську втомину, поцікає рукою чоловіка, одягненого в сірий костюм.",Є чоловік у військовій одязі.,0,entailment
Жінка в чорному платьці стрибає на траву.,Жінка в джинсах стрибає на траві,2,contradiction
Жінка миє внедорожник з розовою налепкою на спині.,Чоловік вирває руку незнайомцю.,2,contradiction
Деякі чоловіки відпочивають на землі в руйнічній зоні.,Деякі чоловіки відпочивають на землі на вулиці в холодному районі.,0,entailment
"Хлопчик, який перевертає спину з піщаної дюни.","Хлопчик, який стояв ще в кухні.",2,contradiction
Собака загрожує матері і її дитині.,Собака загрожує мамі і її дитині.,0,entailment
"Ось фотографія азіатських танців, які виконують новий танець перед своїм класом і вчителем.",Група азіатців танцюють перед своїми однолітниками.,0,entailment
"Дві чоловіки, які стрибають на вулиці.",Чоловіки-пецьки грають у скачок.,1,neutral
"Молода жінка у білому, що носила чорну сумку, стоїть серед натовпу.",Дівчина грає на фортепіано в церкві.,2,contradiction
Чоловік у червоній сорочки скульптує глини.,Чоловік щось вирізає з каміня.,2,contradiction
людина стоїть на землі.,Там сидить жінка.,2,contradiction
Спає дитина в рожевому полосу.,Дитина танцює в рожевому одязі,2,contradiction
"Дівчина, яка носить окуляри і багатоцветний шарф, розмовляє з хлопцем і сміється.",Дві люди сильно фліртують на першому знайомстві.,1,neutral
"Чоловік і дві жінки проглядають ринок, який продає вази, ювелір і інші предмети.",Тут ходить група людей.,0,entailment
Дві люди їдять ребра на барбекю вночі.,"Два людини їдять, сидівши.",1,neutral
"Чоловік у білому і окулярах, який працює в лабораторії з взуттям в рукавичках.",Ніхто не працює.,2,contradiction
Маленький хлопчик піднімається з-під поліцейського бар'єру.,"Хлопчик, який ховається під бар'єром.",1,neutral
Собака ловить фрісбі на бейсбольному полі під час гри.,собака грає в бейсбол.,2,contradiction
"Молодий чоловік з мускулами, одягнений у сонячні окуляри, виправляє одну верту роубової лодки.",Стара жінка їздить на моторній човні без рук,2,contradiction
"Групу людей, які носять червоні футболки і тримають барабаны, фотографують на доході.",Люди позирують для картини.,1,neutral
Дівчина в піжамі сидить на дрованій ваги.,Дівчина в піджаках грає на візанті перед сном.,1,neutral
"Білий пухливий собака, що біжить в бруді.",Білий пухливий собака стає брудним.,1,neutral
"Чоловік і жінка, обидва в червонолосі, насолоджуються карнавальною поїздкою.","Вони в ""Шесть флагов"".",1,neutral
Два бейзболісти зіткнулися.,Починається ігровий хокей.,2,contradiction
Чоловік вискалює великий медний камінь.,Жінка піднімається на скелю.,2,contradiction
Обидва чоловіки займаються боксовим матчем.,Дві жінки кикбоксирують.,2,contradiction
"Хлопчик у синій сорочки дивиться на жінку, яка носить багатоцветне плаття, а інша дитина дивиться в протилежний напрям.","Хлопчик у синій сорочки дивиться на жінку, а інша дитина оглянуться в сторону.",0,entailment
Дівчина в яскравому костюмі грає в лістях.,Дівчина веселиться на лістях.,0,entailment
"Автомобіль залишає сліди пилу, коли він обходить грунтову трасу.",Автомобіль рухається.,1,neutral
"Дитина тримає другої дитини, коли вона лежить на землі.","Дитина тримає другої дитини, коли сидить безпечно.",0,entailment
Чоловік грає на синій електричній гітарі перед мікрофоном.,Чоловік грає на флейті.,2,contradiction
Молодий чоловік і жінка сміються і п'ють пиво.,"Молода пара, яка насолоджується пивом.",0,entailment
"Один чоловік сидить на школьному автобусі, а інший, одягнений у відповідну футболку, стоїть всередині.",Два чоловіки в автобусі друзі.,1,neutral
Маленьке дитя вказує на мопед.,Дитина вказує на рухомий мопед.,1,neutral
"Жінка, одягненія в сину сукку і білий танковий верхній рубль, перевіряє приладок для макіяжу в магазині.",Жінка дивиться на макіяж у магазині.,0,entailment
молодий хлопчик займається гімнастикою в шлемі і стрибає дуже високо,Хлопчик готував дерево,2,contradiction
Чоловік у чорній жилетці і синій джинсі катається на ролінах.,Його ролінові скеті рожеві.,1,neutral
Жінка тримає і дивиться на камеру.,У жінки камера в руках.,0,entailment
"Чоловік знаходиться біля води в місті і одягнений у мокро, шнуркельну маску і шлем.",чоловік біля води,0,entailment
"Дуже тонка чорна собака, яка біжить на полі.",Собака шукає їжу.,1,neutral
"Чорно-білий собака, яка дивиться вгору.","Собака дивиться на землю, де вона копає діру.",2,contradiction
Дві діти їдуть у блакитний парк розваг.,Дві діти весело ведуть час.,0,entailment
Білокосовий джентльмен вивчає карту.,чоловік вивчає карту,0,entailment
Музична група в церкві.,"Група, яка грає музику в церкві.",0,entailment
Маленьке дитину тримають на спині викерного стільця.,Дитина робить перші кроки.,1,neutral
"Азіатський чоловік готує хлібовину з їжею, видною за ним на приладі, на угодинному дворі в торговому центрі.",Азіатський чоловік готує куря в китайському ресторані.,2,contradiction
"Собака ловить апельсинову м'ячку, в снігу.",Там собака.,0,entailment
Маленька дівчинка ходить по лінії брев на піскувому пляжі.,У школі сидить маленька дівчинка.,2,contradiction
Два клоуни стоять поруч з жінкою.,Там стоять люди,0,entailment
"Рок-група Def Leppard, зображена в протичасовому напрямку, включає Ріка Савежа, Вівіана Кемпбелла, Джо Еліота і Філа Коллена, які дивляться на барабанаря Ріка Аллена на піднятому сцені під час концертного виступу.",Люди на сцені,0,entailment
"Релігійна зустріч, де читають книгу.",Люди дивляться фільм.,2,contradiction
Жінка в уніформі використовує жовтий чистильник.,Жінка на роботі чистить підлогу.,1,neutral
"Чоловік з короткими волоссями і окулярами, одягнений у червону футболку, червоні човці і чорну куртку, позирує на схільному сніжному хребті з горими і кількома деревами на задньому плані.",Чоловік плаває в океані,2,contradiction
Чоловік з синьою кашиною і жовтою і чорною курткою їздить на велосипеді в лісі.,Чоловік їздить за свободу.,1,neutral
"Жінка носить червоний помаду, стоячи дуже близько до дзеркала.",жінка одягає макіяж,0,entailment
Діти спить на ковпаках на підлозі.,Діти дрімають на підлозі.,1,neutral
"Дві жінки стоять перед стеною, покритою плакатами на концерти та кампанії.","Дві жінки знаходяться неподалік від стіни, покритої плакатами на концерти та кампанії.",0,entailment
"Женщина, яка тримає рожевий і білий букет, розмовляє зі своїми гостями за межами будинку.",Невеста намагається на одяг у подружній лавці.,2,contradiction
"Дві хлопці виконують рок-концерт, один з короткими блондинками, який співає, а другий - з довгими блондинками і грає на гітарі.",Дві хлопці виконують концерт.,0,entailment
"Чоловік у бургунній рубашке і чорних штанах маневрирує марионеті, яка тримає музичний інструмент.",Чоловік грає з куклами.,0,entailment
Їжа подається на зустрічі.,Є їжа.,0,entailment
Дві люди дивляться на річку вночі поруч з статуєю чоловіка.,"Дві люди, які дивляться в потепрі, з убогою на річку поруч з скульптурою людини.",1,neutral
"Дитина, яка жонглирує з топками посред руху.","Дитина жонгливала м'ячами, перетинаючи дорожній рух.",0,entailment
Група дівчат їздить на гірськолижній гонці.,Ніхто не на горні гору.,2,contradiction
Чоловік співає і грає на гітарі.,скейтборд був чорний.,1,neutral
Великий вибух відбувся біля червоного автомобіля на бензиновій станції.,Став великий вибух.,0,entailment
чоловік працює над будівництвом притулку з дерев і тростни.,Чоловік на вулиці.,0,entailment
"Група виступає на сцени перед баннером для ""Good Morning America's Summer Concert Series"".",Доброго ранку Америка прямується.,1,neutral
"Механік, який тримає частину тягу мотора в ремонтному майданчику.","Чоловік, який тримає частину тягу мотора в ремонтному майданчику.",1,neutral
"Дві дівчата разом, одна сидить на стільці і волоссять волосся другої.",Людина сидяча,0,entailment
"Дві діти в піжамі, одна з маскою і волосся, як хірургічна медсестра, і стоїть над старшою дитиною, яка лягає на дерев'яному підлозі.","Два брата грають у піжамі, коли вони повинні спати.",1,neutral
Чоловік у червоних шортах біжить на трасі.,"Чоловік, який займається Олімпією.",1,neutral
шчаню сухає з суховиком,Косі тварин стають сухими.,0,entailment
"Невелика група людей стоїть, а двоє сидять на дивані.",Всі стоять на вулиці.,2,contradiction
Стара жінка розрізає їжу на тротуарі.,жінка готує,0,entailment
"жінка, яка носить рушницю в мяснику, співає на сцени, а її група грає за нею.",Леді має талант.,1,neutral
Молоді розуми завжди готові навчитися.,Уміння про хімію,1,neutral
"Дівчина грає з ожерельцем, коли сонце світить за нею.",Декаква дівчина дивиться на зірки.,2,contradiction
"Жінка на траві, яка грає з маленькою собакою.",Сім'я грає зі своїм собакою.,1,neutral
Діти грають у водострілку.,Діти мають дозволу від своїх матерів.,1,neutral
"пара, яка насолоджувалася морозивом на вулиці у гарний день","Там пара, яка насолоджувалася морозивом в дождливий день.",2,contradiction
"дві дівчатка, одна у зеленому куртці і одна у розовому, і маленький хлопчик у зеленому куртці, який тримає яблуко, сидяче на скелі.",Група старих людей сидить на скелі.,2,contradiction
У жінки є татуїровка на спині.,Ненсі має татуїровку.,0,entailment
Шість жінок сидять за столом разом перед книжкою.,Жінки всі друзі.,1,neutral
"Пара, яка катається на льоду, виступає на арені.",Пара була чоловіком і жінкою.,1,neutral
"людина, яка додає дрова до вогню.",Жінка гасить вогонь.,2,contradiction
"Чоловік, який тримає знак і чоловік, який грає на гітарі, говорять перед натовпом.","Чоловік грає на гітарі соло, а його друг грає на барабанах, і вони співають групі дітей.",2,contradiction
"Блондинка, одягнена у чорно-оранжевий купальний костюм, захоплена в руху, з огляду на зеленість на фоні.",Жінка стрибає.,0,entailment
Жінка в яскраво-оранжевому головному одязі.,Вона в ритуалі.,1,neutral
Підлітковий підлітковий у сірому сувертині несе чорну міску з сміттям біля вулиці міста.,Дитина втече з дому.,1,neutral
"Головий чоловік в смужному футболіку, що прикочається на підлозі.","Головий чоловік в смужному футболіку, що прикочається на підлозі.",0,entailment
Студенти коледжу читають і виступують на каменних колоннах.,Студенти в коледжі чистять газону.,2,contradiction
Пса плями рулює на спині.,"Животною сверб'є після того, як вона прийняла ванну.",1,neutral
Хлопчик у жовтій сорочки ходить за двома людьми і також проходить біля статуї.,Сім'я йде на тур по столиці.,1,neutral
Чоловік і жінка дивляться на камеру.,Пара знімає свої фото заручників.,1,neutral
Два чоловіки і жінка готують каву.,Дорослі роблять популярний напій.,0,entailment
"Собака, що стрибає через кружок.",Собака вміє робити трюки.,0,entailment
