premise,hypothesis,labels
Дві футбольні команди грають у гру.,Тут група людей грає в баскетбол.,2
"Чоловік розповідає історію, коли сидить серед друзів і кілька линтів пива.",Чоловік щось говорить людям.,0
"Чоловік з багато тату і чорною рубашкою з білими буквами, які пишеться ""серце"", який проводить рок-концерт.",Чемпіон боулинг отримує удар на боулинг-алей.,2
Чоловік розмовляє з орангутаном на скамейці.,Дві дружні гроші розмовляють на лаві.,1
Жінка в білому стоїть зі своїми торговими торговими перед баннером з рожевих і фіолетових квітів.,"Жінка, одягнена у все біло, йде на покупки.",0
"Команда рибалок, половина в воді і половина на пляжі, рибали в мережі біля берегів.",Команда ловить мережу.,0
Азіатська жінка і маленький хлопчик їдуть разом на велосипеді.,Два людини їдуть на велосипеді в парку,1
Великий зовнішній ринок уздовж оголу.,Рынок знаходиться в космосі.,2
"Чоловік, одягнений у армійську втомину, поцікає рукою чоловіка, одягненого в сірий костюм.",Є чоловік у військовій одязі.,0
Жінка в чорному платьці стрибає на траву.,Жінка в джинсах стрибає на траві,2
Жінка миє внедорожник з розовою налепкою на спині.,Чоловік вирває руку незнайомцю.,2
Деякі чоловіки відпочивають на землі в руйнічній зоні.,Деякі чоловіки відпочивають на землі на вулиці в холодному районі.,0
"Хлопчик, який перевертає спину з піщаної дюни.","Хлопчик, який стояв ще в кухні.",2
Собака загрожує матері і її дитині.,Собака загрожує мамі і її дитині.,0
"Ось фотографія азіатських танців, які виконують новий танець перед своїм класом і вчителем.",Група азіатців танцюють перед своїми однолітниками.,0
"Дві чоловіки, які стрибають на вулиці.",Чоловіки-пецьки грають у скачок.,1
"Молода жінка у білому, що носила чорну сумку, стоїть серед натовпу.",Дівчина грає на фортепіано в церкві.,2
Чоловік у червоній сорочки скульптує глини.,Чоловік щось вирізає з каміня.,2
людина стоїть на землі.,Там сидить жінка.,2
Спає дитина в рожевому полосу.,Дитина танцює в рожевому одязі,2
"Дівчина, яка носить окуляри і багатоцветний шарф, розмовляє з хлопцем і сміється.",Дві люди сильно фліртують на першому знайомстві.,1
"Чоловік і дві жінки проглядають ринок, який продає вази, ювелір і інші предмети.",Тут ходить група людей.,0
Дві люди їдять ребра на барбекю вночі.,"Два людини їдять, сидівши.",1
"Чоловік у білому і окулярах, який працює в лабораторії з взуттям в рукавичках.",Ніхто не працює.,2
Маленький хлопчик піднімається з-під поліцейського бар'єру.,"Хлопчик, який ховається під бар'єром.",1
Собака ловить фрісбі на бейсбольному полі під час гри.,собака грає в бейсбол.,2
"Молодий чоловік з мускулами, одягнений у сонячні окуляри, виправляє одну верту роубової лодки.",Стара жінка їздить на моторній човні без рук,2
"Групу людей, які носять червоні футболки і тримають барабаны, фотографують на доході.",Люди позирують для картини.,1
Дівчина в піжамі сидить на дрованій ваги.,Дівчина в піджаках грає на візанті перед сном.,1
"Білий пухливий собака, що біжить в бруді.",Білий пухливий собака стає брудним.,1
"Чоловік і жінка, обидва в червонолосі, насолоджуються карнавальною поїздкою.","Вони в ""Шесть флагов"".",1
Два бейзболісти зіткнулися.,Починається ігровий хокей.,2
Чоловік вискалює великий медний камінь.,Жінка піднімається на скелю.,2
Обидва чоловіки займаються боксовим матчем.,Дві жінки кикбоксирують.,2
"Хлопчик у синій сорочки дивиться на жінку, яка носить багатоцветне плаття, а інша дитина дивиться в протилежний напрям.","Хлопчик у синій сорочки дивиться на жінку, а інша дитина оглянуться в сторону.",0
Дівчина в яскравому костюмі грає в лістях.,Дівчина веселиться на лістях.,0
"Автомобіль залишає сліди пилу, коли він обходить грунтову трасу.",Автомобіль рухається.,1
"Дитина тримає другої дитини, коли вона лежить на землі.","Дитина тримає другої дитини, коли сидить безпечно.",0
Чоловік грає на синій електричній гітарі перед мікрофоном.,Чоловік грає на флейті.,2
Молодий чоловік і жінка сміються і п'ють пиво.,"Молода пара, яка насолоджується пивом.",0
"Один чоловік сидить на школьному автобусі, а інший, одягнений у відповідну футболку, стоїть всередині.",Два чоловіки в автобусі друзі.,1
Маленьке дитя вказує на мопед.,Дитина вказує на рухомий мопед.,1
"Жінка, одягненія в сину сукку і білий танковий верхній рубль, перевіряє приладок для макіяжу в магазині.",Жінка дивиться на макіяж у магазині.,0
молодий хлопчик займається гімнастикою в шлемі і стрибає дуже високо,Хлопчик готував дерево,2
Чоловік у чорній жилетці і синій джинсі катається на ролінах.,Його ролінові скеті рожеві.,1
Жінка тримає і дивиться на камеру.,У жінки камера в руках.,0
"Чоловік знаходиться біля води в місті і одягнений у мокро, шнуркельну маску і шлем.",чоловік біля води,0
"Дуже тонка чорна собака, яка біжить на полі.",Собака шукає їжу.,1
"Чорно-білий собака, яка дивиться вгору.","Собака дивиться на землю, де вона копає діру.",2
Дві діти їдуть у блакитний парк розваг.,Дві діти весело ведуть час.,0
Білокосовий джентльмен вивчає карту.,чоловік вивчає карту,0
Музична група в церкві.,"Група, яка грає музику в церкві.",0
Маленьке дитину тримають на спині викерного стільця.,Дитина робить перші кроки.,1
"Азіатський чоловік готує хлібовину з їжею, видною за ним на приладі, на угодинному дворі в торговому центрі.",Азіатський чоловік готує куря в китайському ресторані.,2
"Собака ловить апельсинову м'ячку, в снігу.",Там собака.,0
Маленька дівчинка ходить по лінії брев на піскувому пляжі.,У школі сидить маленька дівчинка.,2
Два клоуни стоять поруч з жінкою.,Там стоять люди,0
"Рок-група Def Leppard, зображена в протичасовому напрямку, включає Ріка Савежа, Вівіана Кемпбелла, Джо Еліота і Філа Коллена, які дивляться на барабанаря Ріка Аллена на піднятому сцені під час концертного виступу.",Люди на сцені,0
"Релігійна зустріч, де читають книгу.",Люди дивляться фільм.,2
Жінка в уніформі використовує жовтий чистильник.,Жінка на роботі чистить підлогу.,1
"Чоловік з короткими волоссями і окулярами, одягнений у червону футболку, червоні човці і чорну куртку, позирує на схільному сніжному хребті з горими і кількома деревами на задньому плані.",Чоловік плаває в океані,2
Чоловік з синьою кашиною і жовтою і чорною курткою їздить на велосипеді в лісі.,Чоловік їздить за свободу.,1
"Жінка носить червоний помаду, стоячи дуже близько до дзеркала.",жінка одягає макіяж,0
Діти спить на ковпаках на підлозі.,Діти дрімають на підлозі.,1
"Дві жінки стоять перед стеною, покритою плакатами на концерти та кампанії.","Дві жінки знаходяться неподалік від стіни, покритої плакатами на концерти та кампанії.",0
"Женщина, яка тримає рожевий і білий букет, розмовляє зі своїми гостями за межами будинку.",Невеста намагається на одяг у подружній лавці.,2
"Дві хлопці виконують рок-концерт, один з короткими блондинками, який співає, а другий - з довгими блондинками і грає на гітарі.",Дві хлопці виконують концерт.,0
"Чоловік у бургунній рубашке і чорних штанах маневрирує марионеті, яка тримає музичний інструмент.",Чоловік грає з куклами.,0
Їжа подається на зустрічі.,Є їжа.,0
Дві люди дивляться на річку вночі поруч з статуєю чоловіка.,"Дві люди, які дивляться в потепрі, з убогою на річку поруч з скульптурою людини.",1
"Дитина, яка жонглирує з топками посред руху.","Дитина жонгливала м'ячами, перетинаючи дорожній рух.",0
Група дівчат їздить на гірськолижній гонці.,Ніхто не на горні гору.,2
Чоловік співає і грає на гітарі.,скейтборд був чорний.,1
Великий вибух відбувся біля червоного автомобіля на бензиновій станції.,Став великий вибух.,0
чоловік працює над будівництвом притулку з дерев і тростни.,Чоловік на вулиці.,0
"Група виступає на сцени перед баннером для ""Good Morning America's Summer Concert Series"".",Доброго ранку Америка прямується.,1
"Механік, який тримає частину тягу мотора в ремонтному майданчику.","Чоловік, який тримає частину тягу мотора в ремонтному майданчику.",1
"Дві дівчата разом, одна сидить на стільці і волоссять волосся другої.",Людина сидяча,0
"Дві діти в піжамі, одна з маскою і волосся, як хірургічна медсестра, і стоїть над старшою дитиною, яка лягає на дерев'яному підлозі.","Два брата грають у піжамі, коли вони повинні спати.",1
Чоловік у червоних шортах біжить на трасі.,"Чоловік, який займається Олімпією.",1
шчаню сухає з суховиком,Косі тварин стають сухими.,0
"Невелика група людей стоїть, а двоє сидять на дивані.",Всі стоять на вулиці.,2
Стара жінка розрізає їжу на тротуарі.,жінка готує,0
"жінка, яка носить рушницю в мяснику, співає на сцени, а її група грає за нею.",Леді має талант.,1
Молоді розуми завжди готові навчитися.,Уміння про хімію,1
"Дівчина грає з ожерельцем, коли сонце світить за нею.",Декаква дівчина дивиться на зірки.,2
"Жінка на траві, яка грає з маленькою собакою.",Сім'я грає зі своїм собакою.,1
Діти грають у водострілку.,Діти мають дозволу від своїх матерів.,1
"пара, яка насолоджувалася морозивом на вулиці у гарний день","Там пара, яка насолоджувалася морозивом в дождливий день.",2
"дві дівчатка, одна у зеленому куртці і одна у розовому, і маленький хлопчик у зеленому куртці, який тримає яблуко, сидяче на скелі.",Група старих людей сидить на скелі.,2
У жінки є татуїровка на спині.,Ненсі має татуїровку.,0
Шість жінок сидять за столом разом перед книжкою.,Жінки всі друзі.,1
"Пара, яка катається на льоду, виступає на арені.",Пара була чоловіком і жінкою.,1
"людина, яка додає дрова до вогню.",Жінка гасить вогонь.,2
"Чоловік, який тримає знак і чоловік, який грає на гітарі, говорять перед натовпом.","Чоловік грає на гітарі соло, а його друг грає на барабанах, і вони співають групі дітей.",2
"Блондинка, одягнена у чорно-оранжевий купальний костюм, захоплена в руху, з огляду на зеленість на фоні.",Жінка стрибає.,0
Жінка в яскраво-оранжевому головному одязі.,Вона в ритуалі.,1
Підлітковий підлітковий у сірому сувертині несе чорну міску з сміттям біля вулиці міста.,Дитина втече з дому.,1
"Головий чоловік в смужному футболіку, що прикочається на підлозі.","Головий чоловік в смужному футболіку, що прикочається на підлозі.",0
Студенти коледжу читають і виступують на каменних колоннах.,Студенти в коледжі чистять газону.,2
Пса плями рулює на спині.,"Животною сверб'є після того, як вона прийняла ванну.",1
Хлопчик у жовтій сорочки ходить за двома людьми і також проходить біля статуї.,Сім'я йде на тур по столиці.,1
Чоловік і жінка дивляться на камеру.,Пара знімає свої фото заручників.,1
Два чоловіки і жінка готують каву.,Дорослі роблять популярний напій.,0
"Собака, що стрибає через кружок.",Собака вміє робити трюки.,0
"Група жінок, які пробігають марафон.",Всему чоловічий півмарафон проходить,2
"Чоловік схиляється до машини, щоб поговорити з водієм, як глядець на велосипед.",Чоловік просить водія про напрямок.,1
Люди чекають у черзі за воротами.,Люди стоять перед воротами.,2
"Молодий чоловік серфує, а хвиля падає за ним.",Дівчина їсть тако.,2
"Дехто з футболістів на стадіоні грає в футбол, а на них глядець.",Глядачі привітаються.,1
Кілька команд команди греблять по річці.,Люди на човні на вулиці.,0
"Чоловік, який підтягується до вивешеного одягу.",Чоловік прає.,1
"Чоловік, який стрибує і почерплює фрукт з зеленою шкірою.",Кожа на фрукті зелений.,0
"Три людини їдуть на велосипедах по полі, оточені деревами.",Три людини їдуть на велосипедах через полі.,0
Чоловік падає на м'яч під час гри в регбі.,Чоловік намагається вкрасти м'яч під час регбі.,1
"Дві чоловіки, які працюють на будівельній площі в Шарлотт, штат штат штат штат Нью-Йорк.",Два чоловіки спить на будівельній площі.,2
"Чоловік, який перескокває на велосипеді з річкою на задньому плані","Чоловік, який катається на скейт-парку.",2
Група людей сидить в аудиторії і дивиться на екран на сцені.,Люди стоять у аудиторії,1
Старий чоловік сидить на скелі на дворі і їсть.,Чоловік сидить всередині і їсть.,2
"Маленький хлопчик виглядає так, ніби він займається школовим проектом, а його батько дивиться на нього.",Тата їсть чипси і дивиться телевізор.,2
Дівчина в бікіні плаває під водою в чистій воді.,"Дівчина, яка плаває в океані на Багамських островах.",1
Молода дівчинка з світло-коричневими волоссями відкриває подарунок за допомогою старшого хлопчика з темно-коричневими волоссями.,Хлопчик з червоними волоссями краде подарунки від своєї сестри.,2
Сім'я бідних чорних жителів села зібралася навколо вогню.,На землі сидять люди.,1
Жінка робить свої покупки в місцевому Walmart,"Жінка, яка купує продукцію.",1
Маленькі діти грають з жовтою їзди на іграшки.,Дві маленькі діти граються.,0
Чоловік у зеленої сорочки з довгою бородою грає на струнному інструменті.,Його борода зпала і втік.,2
"Дівчина в синій коротко-жовтої футболіки кидає жовтий софтбол, а дівчина в чорно-червоній коротко-розійній форме і червоній кашыці біжить.",Дівчата сидять вдома і нічого не роблять.,2
Група людей перед комп'ютерами дивляться на передній частині кімнати.,Студенти в комп'ютерній лабораторії,1
"Два футболісти, один з команди в червоному і інший у білому, ходять на футбол, а люди на біличах дивляться.",М'яч наповнений свинцом.,2
Трима чоловіками працює над графіті.,"Трима чоловіками, які малюють на некрасивих графітти.",1
"Маленька дівчинка плаче на стільці в столовій перед столом з тарілою тосту, чашкою і кутиною соків.",Собака робить черво в задньому плані.,2
Чоловік і жінка дивляться на щось разом перед орнаментально висеченим колонном.,Жінка і чоловік знаходяться біля колонни.,0
Чоловік у чорній куртці посміхається на жінку.,Чоловік злився на жінку.,2
"Чоловік у коричневому костюмі стоїть, тримаючи руки разом за спиною.","Чоловік стоїть, тримаючи знак миру.",2
Багато людей на пляжі біля пальмових дерев.,"весілля, розслабляючись на пляжі",1
Леді дивиться в небо на міському тротуар.,Леді біжить за своє життя з падіння будівлі.,2
Три діти грають в футбол у піску.,Діти грають в футбол на пляжі.,1
Дитина слізгає по сніжному ході.,"Дитина, яка грає в снігу.",0
"Група підлітків і дітей з скейтбордами на рампі, на якій є логотип ""Красний Б"".",Група змагається на скейтбординговому шоу.,1
"Чоловік з бізбольною шапкою, повернутою назад, знімає фотографії на полі з натовпом на задньому плані.","Жінка з бізбольною шапкою, повернутою назад, фотографувала на полі з натовпом на задньому плані.",2
Дитина скейтборд на сходах.,Дитина катається на скейтборд.,0
Група дітей впав у річку біля берегів річки.,Діти грають у річці.,1
Чоловік у сірому сувертині схиляє ногу над головою.,Жінка розтягує ногу над головою.,2
Два людини на конях намагаються злавити корову.,Два ковбої на конях намагаються поймати корову на полі.,1
Дитина в білої рубаці в вагоні поїзда.,Дитина сидить з двома жінками.,1
"Молодий чоловік, який займається мистецтвом.",Молодий чоловік грає в шахматы.,2
"Маленький хлопчик ховається під столом на вулиці, де демонструється фруктовий.",Маленький хлопчик ховається.,0
"Безкостюжний чоловік, який працює з залізом.",Чоловік заплюває.,0
"Жінка середнього віку, яка перебуває на відпустку, дивиться на океан, а її подорожник фотографуває.","Чоловік, який тримає кішку.",2
Люди в уніформі і прохожими ходять по вулиці.,Люди ходять по вулиці.,0
Три людини стоять у банкоматах Вашингтон Mutual.,"Три людини стоять у банкоматах Вашингтон Мутуаль, а група виступає поблизу в торговому центрі.",1
"Два людини сидять на лаві, а чоловік у соровому пальто курить.",Група людей все носять сорову куртку і курить.,2
"Молодий хлопчик, який носить червоний шарф навколо голови, з словом ""вільний"" написано червоним на одній щеті.",Молодий хлопчик з шалом на голові і протестуючи.,1
"Дівчина з окулярами видуває дим, тримаючи в лівій руці джунт.",Хлопчик курить джонг.,2
"Бейсболний гравець з ""Тигрів"" слізгає на базу, а арбітр біжить, щоб побачити, чи є гравець в безпеці.",Бейсбольний гравець прослізнувся до домашньої бази.,1
Коняс у формі стрибає свою білу коню через огороду.,У гоняра довгий кінний хвост.,1
Чоловік у плад стоїть на кучі камінь і дивиться на велосипед.,"Чоловік стоїть на кучі камінь, над якими він намагався їздити.",1
Людина наклонілася на скриньку.,"Є скринька, на яку можна покластись людям.",0
Жінка в передніковій торгує на ринку.,Ця жінка прекрасна.,1
"Натовп дивиться на екран, який показує кольоровий зображення.",Група дивиться на кольори на екрані.,0
Азіатська жінка стояла біля жовтого будівлі.,жінка стоїть на вулиці,0
"Молода дівчина дивиться на дорослих, коли вони намагаються вигулятися на громадському майданчику.",Два дорослих грають на дитячому полі,2
У вуличних продавців з колишками Nescafe розмовляють один з одним на вуличному куточку міста з різдвяними деревами.,Люди святкують Різдво.,1
"Жінка в лікарні сидить поруч з жінкою, яка пише на підкладці.",Лікар збирається провести операцію на пацієнта.,2
Собака намагається підняти велику шину ротом.,"Собака, яка грає з шиною.",0
"Танцюючого в білої рубаці і шортах фотографує чоловік, який також одягнений у біло.",Фотограф фотограф танцює.,1
"Ця дитина тримає в руках туфлі з перевернутою рукою, а також голову.","Дитина тримає в руках взуття, чекаючи його перевезення.",1
"Молодий білондонний чоловік сміється, витягнувши сорочку на публічному обстановці, коли глядачі дивиться.",На когось спостерігає група людей.,0
"Людина, яка носить важку куртку, входить в купол з снігу.","Людина входить в сніжне куполе, яке вона тільки-но побудовала.",1
Жінка в білої футболі з поло-поло рухає чорну статую ведмедя.,Жінка натискає статую,1
Два пухливі білі собаки в снігу.,Дві тварини знаходяться в замороженому матеріалі на землі.,0
Чоловік у чорній сорочки і маленький хлопчик працюють над дверями.,Він встановлює двері.,1
Чоловік тягне три колеса синій тележці з різними чистильними засобами в сивих і синих вечках.,"Чоловік, який використовує інвалідний стільце для того, щоб робити трюки",2
"Жінка, яка показує великий вільний гриль у магазині, який виглядає як магазин Home Depot.","Жінка, яка використовує гриль перед магазином.",1
"Людина на мотоциклі з брудним велосипедом, одягненій у багатоцветну захисну одяг і шлем, що викручується на піску, з піском, що випливає в кукурузному опаді за мотоциклом.",Два чоловіки їдуть один за одним в піщаній дюні.,2
Молоді танцюють на офіційній вечірці.,Люди рухаються.,0
Чоловік у білої футболці і синій бейзбольній шапці наглядав за дітьми в лабораторній обстановці.,Урок щось навчає в лабораторії.,1
"Жінка, яка носить чорний верхній та червону юбку, кидає м'яч у повітря.",Чоловік кидає фрісбі.,2
"Ходіки піднімаються по крику, зупиняючись, щоб задихати і насолоджуватися приємною зеленою пейзажом.",Два льодовики досягають дна гори.,2
Група хлопців не грає футбол на футбольному полі.,Група хлопців грає в професійний футбол.,1
Чоловік з червоною футболку сидить на водійській сидлі машини.,чоловік сидить в машині,0
Дві маленькі діти скейтборують на рампах.,Дві діти їдуть на чорних скейтбордах з наклейками.,1
Старий чоловік у сірі спить на маленькому стільці.,Старий чоловік спить у ліжку.,2
Браунна собака лежить на синій лісті.,Собака лягає на ліжку,0
"Група дітей, дві окремі команди, зелені і червоні, грають у футбол.",Два кольори команди - фіолетовий і синій.,2
У воду проплюється мокрий собака.,Собака спить під сонцем.,2
"Люди, які добре танцюють.",Деякі люди танцюють і веселяться.,0
"Чоловік у білої сорочки кидає фрісбі для чорно-білого собаки, яка має білого фрісбі в роті.",Чоловік грає з собакою.,0
Дві діти грають в футбол на полі.,"Деякі діти біжать, щоб злавити м'яч свого друга.",1
Жінка з свіже офарбованими нігтями тримає червону пляшку лаку на нігті з чорною шапкою.,Жінка тримає пляшку.,0
Четири дітей стрибають на вулиці з синьою машиною ззаду.,Діти займаються спортом на вулиці.,1
Чорна собака на синій нітці ходить по ручці.,На вулиці чорна собака.,0
Чоловік у рожевій рубаці розмовляє в мікрофон.,Собака стрибає на мобільний телефон.,2
"Скейтбордер, який рухається на скамейці.",Скейтбордер використовує об'єкт.,0
"Демонстранти стоять за низьким огородом, протестуючи за свободу в Газі.","Є люди, які схиляються до огороду.",1
"Чоловік, який ловить рибаль.",Чоловік ловить форелу.,1
Кілька чоловіків грають у професійну баскетбольну гру.,Ніхто не грає в гру.,2
Снокеркер під водою знімає фотографію.,Людина готує їжу на палубі човна.,2
Ця маленька дитина сидить за кермом автомобіля.,Маленьке дитину сидить за кермом.,0
Чоловік у темній шапці стріляє в ручку.,Владар стріляє з ручної зброї.,1
"Чоловік, який шляхує одяг, коли його друг дивиться.","Чоловік шляхує одяг, а його друг чекає.",1
Три дорослих молодих людей дивляться на камеру в школі.,Група підлітків позирує перед річником.,1
"Залишник погружається, щоб завоювати з'явившися на центрі поля.","Залівець одягнений у білет і біжить навколо, запитуючи: ""Чи можу я отримати такий?"".",2
Чоловік готовий зробити покупку в невеликій магазині.,Мяжчина в будівлі.,0
Дитина виглядає нервозно на вершині слайду.,"Дитина боїться слізків з тих пір, як його батько загинув у дивовижному слізковому аварії.",1
На електричному полюсі біля будівлі працює працівник.,Працівник знаходиться біля будівлі.,0
"Молода дівчина, яка грає на арпі.","Дівчина, яка виконує арфу.",1
Дордж-гонучка їздить по грунтовій дорозі і викидає пил своїми колесами.,Гонка їздить на дорозі,0
Дівчина в білому свитере і синій джинсі прогуляється по місті.,Дівчина прогуляється по Нью-Йорку.,1
"Вигляд зверху молодої жінки, яка сидить за зеленим під знаком, який пропонує програми і морозиво.","Жінка перескакає знак, їдаючи морозиво.",2
Три чоловіки одягаються в дивні костюми.,Три чоловіки одягнуті в костюми.,0
"Три діти на заняттях з бойових мистецтв мають позицію, кожна дитина носить різний колір пояс.",Три діти займаються бойовими мистецтвами.,0
"Музична тріо, що виступає на сцени під червоним і зеленым світлом з білими лініями, проектованими на фоні сцени",Люди обидва сидять комфортно.,2
"Фотограф, який знімає фотографію двох чоловіків перед баннером.","Дві чоловіки, які фотографуваються.",0
Чоловік сидить з багатьма килим навколо себе.,Чоловік сидить біля деяких ковпатів.,0
"Чоловік, який обробляє морозиво.",Він ампутований.,2
"Жінка в магазині, яка спирається на продукцію.",У магазині є самка.,0
"Два серфінги в океані, один дивиться, а інший у зеленому і чорному костюмі проїжджає в хвилю.",Серферів на Гавайях.,1
Людина носить багато предметів по тротуарі.,Людина носить багато предметів.,0
"Дві чоловіки, одягнені в сині і жовті костюми і ботинки, працюють на дорозі.","Два чоловіки, одягнені в сину і жовту сукню, спить.",2
Чоловік тримає лимон однією рукою і чашку води в іншої.,чоловік додає апельсин до свого склянки води,2
Строительська команда заповнює ціле.,Чоловіки грають в футбол.,2
На задньому платіжці є чоловік у білої сорочки і хакі-пульси.,Чоловік носить білу футболку і джинси.,2
"Американський коренний народ у червоно-синій сукні, який сидить і збирає зелену траву.",Американський коренний народ витягує кусочки трави.,0
Маленька дівчинка їсть за великим столом їжі.,Дівчина біжить навколо.,2
Маленький хлопчик їздить на жовтому велосипеді на трохи переповнених площі.,Маленький хлопчик їздить на велосипеді.,0
"Чорна собака, що бегло на траві.",Собака на вулиці.,0
Дві молоді дорослі грають на ланцюжному наборі.,Діти плывуть.,0
Люди ходять по напруженому вулиці з парасолями.,Деякі люди стоять у черзі в кафетерії.,2
Маленька дівчинка в волосяній куртці тримає переповню і посміхається.,Маленька дівчинка тримає у руках своїх улюблених тварин перед сном.,1
"На вулиці озера відбувається фестиваль, де кілька барабанщиків у червоних сорочках і чоловік на стрілах грає на барабанах.",Зал святкування повний людей.,2
Жінка в зеленому одязі грається зі своїм соровим собакою.,"Жінка в зеленому грає в ""показання"" зі своїм собакою",1
"Горди собака повертається з іграшкою, яку вона забрала.",Собака принесла костку для іграшки.,1
"Чоловік у сухої одязі, вказуючи на відкритий рот.",Чоловік у лапці вказує на локте.,2
Чоловік стає повітряним під час вендсерфінгу.,Він виконує повітряний трек.,1
Блондинка собака вирває воду біля озера.,Собака закручиться перед ногами свого господаря.,2
"Браунна собака пробігає через траву, тримаючи щось в роті.",Собака біжить через траву.,0
"Протестувальники, які носять червоний стержень, знаходяться на вулиці, коли фотографів знімку.",Група протестувальників спить на покинутому автобусі.,2
Чоловік на велосипеді BMX робить острий поворот.,"Є людина, яка їздить на велосипеді.",0
"Дві підліткові дівчата, одягнені як гіпі, ходять і розмовляють.",Дві дівчата розмовляють.,0
Чоловік ходить на водній льодовику і стрибає з води.,Водоплавник отримує ідеальну десятку з цим маневром стрибок.,1
"Матір і її малюк в парку, і вони обоє торкаються частини апарату.",Два старі люди покидають парк,2
"Головий чоловік у лабораторії з жінкою, яка дивиться, як він змішуває рідини в очищенних чашках.",Головий чоловік сидить в крізьку вдома.,2
Підлітковий підлітковий у червоній сорочки готується служити волейболу.,Підлітковий хлопець любить грати в волейбол.,1
Дівчинка стоїть на боці дивана і кидає лампу.,Дитина знаходиться в небезпечному стані біля лампи і на боці дива.,0
Чоловік лежить на спині в скалисту печері.,Чоловік постраждав на спині в скалисту печері.,1
Собака біжить в океані поруч з пляжем.,Тут кішка гониться за собакою.,2
"Дядуля, батько і двоє синів складають загадку.",Сім'я збирає загадку.,0
"Жінки танцюють на полі, коли глядачі дивляться.","Люди спить, а інші дивляться.",2
Колі грає з білим м'ячом на полі з зеленою травою.,М'яч зелений.,2
Жінка працює на ковпальницькому колесі.,Ця жінка - співробітник руля.,0
